subj_id,gender,age_group,age,age_centered,trial_nr,symmetric_position,target_position,eye_radius,eye_center_left_x,eye_center_right_x,eye_center_left_y,eye_center_right_y,pupil_final_left_x,pupil_final_right_x,pupil_final_left_y,pupil_final_right_y,target_center_x,target_center_y,click_scaled_x,click_dist_from_target_center_x,click_dist_balloons
gp1-11,m,30,35,17,14,5,10,45.1,882.92,1041.46,871.69,871.69,908.24,1063.95,847.74,845.06,1670.52,126.67,1626.73,-43.79,0.27
gp1-11,m,30,35,17,15,5,1,42.48,854.99,1059.5,923.25,923.25,832.19,1034.09,899.61,902.44,86.57,126.67,477.59,391.03,2.44
gp1-11,m,30,35,17,16,1,5,37.28,872.12,1045.89,937.8,937.8,874.48,1042.14,909.17,909.32,939.08,126.67,1024.8,85.72,0.54
gp1-11,m,30,35,17,17,2,4,42.48,854.99,1059.5,923.25,923.25,845.55,1043.52,891.79,894.56,615.9,126.67,630.23,14.34,0.09
gp1-11,m,30,35,17,18,3,3,45.1,882.92,1041.46,871.69,871.69,868.79,1022.34,839.83,842.55,552.6,126.67,661.92,109.32,0.68
gp1-11,m,30,35,17,19,3,8,42.48,854.99,1059.5,923.25,923.25,871.48,1069.62,894.85,892,1317.55,126.67,1361.77,44.22,0.28
gp1-12,f,30,33,15,5,5,1,37.28,872.12,1045.89,937.8,937.8,852.74,1024.4,916.59,918.74,130.98,126.67,129,-1.98,0.01
gp1-12,f,30,33,15,6,1,6,45.1,882.92,1041.46,871.69,871.69,889.65,1040.9,837.49,836.84,1029.47,126.67,964.51,-64.96,0.41
gp1-12,f,30,33,15,7,2,7,37.28,872.12,1045.89,937.8,937.8,883.32,1051.78,911.35,909.68,1215.68,126.67,1302.01,86.33,0.54
gp1-12,f,30,33,15,8,4,2,42.48,854.99,1059.5,923.25,923.25,838.96,1038.74,894.58,897.8,409.58,126.67,580.5,170.92,1.07
