subj_id,gender,age_group,age,age_centered,trial_nr,symmetric_position,target_position,eye_radius,eye_center_left_x,eye_center_right_x,eye_center_left_y,eye_center_right_y,pupil_final_left_x,pupil_final_right_x,pupil_final_left_y,pupil_final_right_y,target_center_x,target_center_y,click_scaled_x,click_dist_from_target_center_x,click_dist_balloons,time_taken,country,fluent_languages
3G6DyUDJ,m,6,6.75,3.71,10,3,8,45.1,882.92,1041.46,871.69,871.69,901.67,1055.11,842.31,839.62,1358.44,126.67,1243.54,-114.91,0.72,NA,NA,NA
3G6DyUDJ,m,6,6.75,3.71,11,4,2,37.28,872.12,1045.89,937.8,937.8,857.02,1027.51,913.37,915.72,370.72,126.67,552.68,181.96,1.14,NA,NA,NA
3G6DyUDJ,m,6,6.75,3.71,12,2,4,42.48,854.99,1059.5,923.25,923.25,847.77,1045.24,891.21,893.67,675.42,126.67,711,35.59,0.22,NA,NA,NA
3G6DyUDJ,m,6,6.75,3.71,13,1,5,37.28,872.12,1045.89,937.8,937.8,870.71,1038.57,909.11,910.02,832.19,126.67,880.84,48.65,0.3,NA,NA,NA
3G6DyUDJ,m,6,6.75,3.71,14,5,1,45.1,882.92,1041.46,871.69,871.69,860.12,1015.91,845.33,847.98,238.65,126.67,644.8,406.14,2.54,NA,NA,NA
3G6DyUDJ,m,6,6.75,3.71,15,4,2,42.48,854.99,1059.5,923.25,923.25,837.93,1038.02,895.19,898.41,370.72,126.67,561.32,190.59,1.19,NA,NA,NA
3G6DyUDJ,m,6,6.75,3.71,16,1,5,37.28,872.12,1045.89,937.8,937.8,870.71,1038.57,909.11,910.02,832.19,126.67,918.26,86.07,0.54,NA,NA,NA
3G6DyUDJ,m,6,6.75,3.71,17,4,9,45.1,882.92,1041.46,871.69,871.69,905.8,1060.61,845.4,842.57,1531.35,126.67,1200.36,-330.99,2.07,NA,NA,NA
3G6DyUDJ,m,6,6.75,3.71,18,2,4,42.48,854.99,1059.5,923.25,923.25,847.77,1045.24,891.21,893.67,675.42,126.67,777.21,101.79,0.64,NA,NA,NA
3G6DyUDJ,m,6,6.75,3.71,19,3,8,37.28,872.12,1045.89,937.8,937.8,886.89,1056.22,913.16,911,1358.44,126.67,1173.01,-185.43,1.16,NA,NA,NA
