subj_id,gender,age_group,age,age_centered,tom_aggregate,perspective_aggregate,desires,knowledge,content,explicit,turtle,worm,tango_mean,magnet_mean
bxLCYb9w,m,4,4.47,0.48,4,2,1,1,0,0,1,1,0.93,1.44
vLLwcJXd,f,4,4.93,0.94,4,1,1,1,1,0,0,1,1.37,0.88
ymvgGFPc,f,4,4.87,0.88,4,0,1,1,1,1,0,0,1.57,3.72
8qW5uCry,f,4,4.18,0.19,5,2,1,1,1,0,1,1,2.88,1.93
ByUwc5XQ,m,4,4.66,0.67,3,0,1,1,0,1,0,0,2.37,1.13
gACwLxZR,f,4,4.56,0.57,1,0,1,0,0,0,0,0,1.48,1.77
JdwXQDqh,m,4,4.63,0.64,2,1,0,0,0,1,1,0,1.64,1.37
HGwdQwep,f,4,4.87,0.88,4,2,1,0,0,1,1,1,2.44,2.64
hifvokxR,m,4,4.15,0.16,0,0,0,0,0,0,0,0,1.36,1.82
mP8KSDrN,f,4,4.98,0.99,3,0,1,1,0,1,0,0,1.52,1.47
tXhy7e3G,m,5,5.03,1.04,2,0,1,1,0,0,0,0,1.69,1.32
22cDu9Qf,f,4,4.98,0.99,6,2,1,1,1,1,1,1,2.03,1.31
PVHQxWKy,m,4,4.96,0.97,4,2,0,1,1,0,1,1,1.48,0.85
ZT7Ri8Co,m,4,4.48,0.49,2,1,0,1,0,0,0,1,2.45,1.79
p7wQuDyk,m,4,4.64,0.65,1,0,1,0,0,0,0,0,3.18,1.2
7fWVkeE5,f,4,4.83,0.84,2,2,0,0,0,0,1,1,1.46,1.41
gcgvHK42,f,4,4.96,0.97,2,1,1,0,0,0,0,1,2.54,1.12
qZk5R289,f,4,4.77,0.78,6,2,1,1,1,1,1,1,1.56,0.57
