b_Intercept,b_age_centered,b_Iage_centeredE2,b_Iage_centeredE3,sigma,Intercept,lp__
1.22052,0.0597237,-0.00181921,0.0000153962,2.00398,1.60255,-1290.01
1.23962,0.059565,-0.00177296,0.0000141546,2.00036,1.60069,-1289.4
1.29306,0.060807,-0.0024015,0.000023994,2.00703,1.59913,-1288.61
1.39347,0.0638,-0.00271575,0.0000263034,2.0142,1.60093,-1291.43
1.40898,0.0639127,-0.00284293,0.0000282815,2.01317,1.60191,-1292.13
1.40089,0.0632902,-0.00278336,0.0000276377,2.00188,1.60199,-1291.61
1.34502,0.0614045,-0.00225532,0.0000199758,1.99725,1.60283,-1290.77
1.34507,0.0620477,-0.00242319,0.0000228022,1.99431,1.60358,-1290.53
1.13815,0.0614556,-0.00174944,0.0000151251,2.00371,1.60173,-1292.12
1.2818,0.0608456,-0.00181891,0.0000135164,2.00773,1.60096,-1290.91
1.18524,0.0567381,-0.00185486,0.0000180972,2.01606,1.60004,-1291.25
1.34573,0.0571453,-0.00214342,0.0000197208,2.01105,1.59978,-1288.44
1.38017,0.0571354,-0.00235641,0.0000228766,2.02315,1.59869,-1288.56
1.28765,0.0546824,-0.00173205,0.0000144707,2.00582,1.59856,-1287.72
1.33057,0.0529398,-0.00203777,0.0000199449,2.01628,1.59856,-1287.26
1.26509,0.0508419,-0.0012852,0.0000084431,2.03328,1.59929,-1289.23
1.33199,0.0499112,-0.00204756,0.0000214136,2.03176,1.59738,-1287.52
1.29032,0.0513637,-0.00178476,0.0000167966,2.0263,1.59574,-1286.5
1.31059,0.0501459,-0.00183567,0.0000178376,2.02606,1.59594,-1286.38
1.35883,0.0501508,-0.00196061,0.0000190637,2.01685,1.59501,-1285.69
1.39238,0.049324,-0.00211333,0.0000215026,2.03025,1.59449,-1285.95
1.35198,0.0496888,-0.00194336,0.0000191015,2.01816,1.59504,-1285.68
1.35543,0.0500497,-0.00200023,0.0000199167,2.01808,1.59514,-1285.81
1.44702,0.0494083,-0.0023713,0.0000250294,2.01645,1.59455,-1286.84
1.53425,0.0478849,-0.00251066,0.0000263709,2.02059,1.59471,-1289.38
1.4943,0.0462897,-0.0020679,0.0000197683,2.01715,1.5939,-1287.67
1.39893,0.0462895,-0.00206786,0.0000218552,2.01715,1.5939,-1285.42
1.47161,0.0463607,-0.00215193,0.0000217889,2.01684,1.59414,-1286.42
1.4012,0.0449835,-0.00149748,0.0000118596,2.01494,1.59372,-1286.2
1.43253,0.0452789,-0.00173853,0.0000154939,2.01751,1.59392,-1286
1.31477,0.0452736,-0.00173917,0.0000180855,2.01752,1.59392,-1285.99
1.35132,0.0458363,-0.00145483,0.0000117901,2.01854,1.59391,-1285.42
1.40793,0.0462196,-0.00178066,0.0000163936,2.02131,1.594,-1285.44
1.39298,0.0477344,-0.00173863,0.0000152003,2.01876,1.59069,-1284.83
1.36003,0.0477496,-0.00172396,0.0000156437,2.01877,1.59068,-1284.07
1.27791,0.0503063,-0.00161678,0.0000143266,2.02299,1.59059,-1284.69
1.29048,0.0498892,-0.00166956,0.0000152168,2.02416,1.59089,-1284.64
1.34022,0.049491,-0.0018042,0.0000167677,2.02497,1.58993,-1284.01
1.34319,0.0489238,-0.00190567,0.0000188427,2.03166,1.59067,-1284.41
1.36864,0.0486767,-0.00195265,0.0000192642,2.03036,1.59077,-1284.37
1.41458,0.0466825,-0.00232292,0.0000260001,2.0383,1.59192,-1286.54
1.3698,0.0399261,-0.00139394,0.0000128238,2.03409,1.59101,-1283.53
1.3578,0.0409195,-0.0014819,0.0000142693,2.0263,1.59108,-1283.58
1.32838,0.0397607,-0.00130727,0.0000121975,2.01781,1.59066,-1283.62
1.27912,0.0395961,-0.0011213,0.00000987228,2.0062,1.58856,-1283.86
1.30154,0.038879,-0.001052,0.00000838774,2.00801,1.58702,-1282.66
1.37328,0.0387921,-0.00144386,0.0000140991,2.00767,1.58767,-1281.83
1.4076,0.0376475,-0.00149357,0.0000148336,2.00676,1.59044,-1282.52
1.38084,0.0377862,-0.00142418,0.0000141135,2.01361,1.59207,-1283.36
1.40809,0.0368878,-0.00130192,0.0000116637,2.0037,1.59221,-1283.12
1.47896,0.0353512,-0.00137995,0.0000122369,2.00182,1.59232,-1283.98
1.3781,0.0355058,-0.00132157,0.0000133027,1.99578,1.5925,-1283.3
1.35612,0.034934,-0.00115572,0.0000109622,1.98656,1.59176,-1283.13
1.46021,0.0347446,-0.00148452,0.0000148457,1.98215,1.59232,-1282.74
1.46255,0.0344565,-0.0014621,0.0000144742,1.9661,1.59074,-1282.15
1.41887,0.0356057,-0.00156237,0.0000167628,1.95907,1.59042,-1282.47
1.52369,0.035287,-0.0018852,0.0000205672,1.95672,1.5905,-1283.48
1.43688,0.0333523,-0.00154245,0.0000170276,1.95737,1.5916,-1282.86
1.39287,0.0322862,-0.000870044,0.00000605622,1.95521,1.5914,-1282.9
1.41562,0.0322806,-0.00101629,0.00000827005,1.96439,1.59192,-1282.57
1.33782,0.0359671,-0.000764141,0.000003645,1.96799,1.59014,-1284.04
1.40017,0.0362114,-0.00149565,0.000015658,1.97667,1.58977,-1282.21
1.4132,0.0363181,-0.00123817,0.0000105652,1.97022,1.58929,-1282.06
1.35976,0.0392222,-0.00136278,0.0000127455,1.97125,1.58937,-1282.22
1.4644,0.038662,-0.00177829,0.0000183739,1.96906,1.5896,-1282.57
1.38302,0.0394873,-0.00165062,0.000017437,1.96859,1.58976,-1282.78
1.45322,0.0394907,-0.00165098,0.0000159055,1.96858,1.58976,-1282.75
1.36092,0.0397065,-0.00140843,0.0000133345,1.98219,1.5888,-1282.08
1.43441,0.0398439,-0.0016591,0.0000163115,1.9905,1.58982,-1282.57
1.39452,0.0416682,-0.00172031,0.0000174798,1.99409,1.58873,-1282.35
1.30163,0.0421953,-0.00165827,0.0000181265,1.99525,1.58838,-1285.05
1.50923,0.0400373,-0.00182298,0.0000175904,1.99301,1.58887,-1284.35
1.26145,0.041956,-0.0012548,0.0000116744,2.00026,1.58861,-1284.48
1.45601,0.0389936,-0.00167948,0.0000165197,1.99279,1.5865,-1281.65
1.40548,0.0386395,-0.00134589,0.0000116035,1.98002,1.58532,-1281.01
1.44382,0.0389657,-0.00183226,0.0000195427,1.98608,1.58309,-1280.44
1.412,0.0359461,-0.00138457,0.0000133172,1.9904,1.58289,-1279.52
1.40399,0.0373229,-0.00134185,0.0000121129,1.98945,1.5838,-1280.12
1.43732,0.0376298,-0.00133906,0.0000111978,1.99289,1.5839,-1281.22
1.26979,0.0400811,-0.000808781,0.00000392838,1.98217,1.5809,-1281.75
1.35975,0.0389965,-0.00115103,0.00000873555,1.97781,1.58004,-1279.56
1.35345,0.0389593,-0.00115204,0.00000890855,1.97784,1.58003,-1279.44
1.40265,0.0367527,-0.00136411,0.0000127122,1.97405,1.57951,-1278.34
1.41746,0.036588,-0.0015613,0.0000160802,1.97163,1.57866,-1278.08
1.54176,0.0368965,-0.00197603,0.0000208705,1.96766,1.57854,-1280.58
1.4876,0.0387466,-0.00171965,0.0000165016,1.97958,1.5784,-1279.87
1.52502,0.0348253,-0.00153413,0.0000139922,1.95775,1.57796,-1280.49
1.53585,0.0339161,-0.00156119,0.0000146331,1.96274,1.57682,-1279.95
1.40529,0.032535,-0.00185371,0.0000235035,1.97129,1.57697,-1283.03
1.46767,0.0325558,-0.00186666,0.0000223678,1.971,1.57697,-1279.46
1.44182,0.0323894,-0.00151073,0.0000164339,1.95529,1.57661,-1277.1
1.36679,0.0332433,-0.00128361,0.0000135233,1.95238,1.57734,-1278
1.38577,0.0344919,-0.00154745,0.0000174349,1.96058,1.57801,-1279
1.50148,0.0331547,-0.00144226,0.0000135725,1.9545,1.57878,-1278.96
1.37428,0.033469,-0.00137252,0.0000149309,1.95723,1.57879,-1278.78
1.38673,0.0332071,-0.00118569,0.0000113435,1.95477,1.57949,-1277.99
1.36096,0.033732,-0.000857233,0.00000560734,1.95196,1.57912,-1278.91
1.3935,0.0350894,-0.00120097,0.0000106261,1.9473,1.5788,-1277.96
1.47153,0.03661,-0.00170014,0.0000174891,1.92314,1.58053,-1279.43
1.4163,0.0390662,-0.0015053,0.0000139824,1.94068,1.57914,-1278.7
1.38347,0.0368287,-0.00150865,0.0000157089,1.94698,1.57697,-1277.7
1.36901,0.0381378,-0.00103851,0.0000067972,1.93414,1.57815,-1279.7
1.33413,0.0383333,-0.00112012,0.00000896162,1.93257,1.57734,-1278.37
1.41691,0.0384128,-0.00185356,0.0000206107,1.93394,1.57581,-1278.3
1.36998,0.0377991,-0.00133853,0.0000123945,1.93349,1.57512,-1276.92
1.32999,0.0379907,-0.00141088,0.0000145201,1.93342,1.57516,-1278
1.4001,0.0413168,-0.00142972,0.0000118178,1.92669,1.57341,-1277.94
1.46545,0.0406532,-0.00163896,0.0000145186,1.92688,1.57235,-1278.79
1.38466,0.0406175,-0.00171414,0.0000176765,1.92509,1.57175,-1276.25
1.47167,0.0404713,-0.00218648,0.0000245297,1.91736,1.57081,-1277.9
