b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,lp__,zs_1_1.1.
-0.309571,0.00740317,2.77855,0.437037,-0.309571,3.16013,-175.893,1.13733
-0.290334,0.0328337,3.67687,0.41606,-0.290334,3.07095,-175.335,0.835209
-0.303087,0.0466382,8.0486,0.431043,-0.303087,2.53267,-176.764,0.314673
-0.329264,0.00569487,2.0888,0.408691,-0.329264,2.6917,-176.066,1.28863
-0.309291,0.0467506,5.30659,0.434302,-0.309291,2.7365,-175.773,0.51568
-0.303656,0.00790979,2.96951,0.413324,-0.303656,2.99172,-174.879,1.00748
-0.317023,0.00480785,2.50306,0.426426,-0.317023,2.89005,-174.942,1.15461
-0.310745,-0.00408445,3.92079,0.436837,-0.310745,3.02139,-176.547,0.770608
-0.306815,0.0089004,2.71268,0.413466,-0.306815,3.5043,-176.147,1.29182
-0.349616,0.01945,2.47491,0.450127,-0.349616,2.64556,-179.565,1.06895
-0.348732,0.022955,2.04758,0.431159,-0.348732,2.69164,-176.922,1.31455
-0.312688,0.0429344,2.48425,0.415679,-0.312688,2.88079,-174.604,1.15962
-0.309744,0.0548246,2.34417,0.4136,-0.309744,2.94243,-176.047,1.25521
-0.308891,0.0374203,2.5578,0.41263,-0.308891,3.05007,-174.601,1.19246
-0.324122,0.0308809,2.40389,0.410778,-0.324122,2.82435,-174.448,1.17491
-0.307174,0.02044,1.70096,0.418898,-0.307174,3.01453,-175.122,1.77225
-0.328102,0.0362265,2.73961,0.414024,-0.328102,3.2132,-174.903,1.17287
-0.312016,0.0173592,2.52145,0.425828,-0.312016,2.46011,-174.956,0.975675
-0.32248,0.0298802,4.57569,0.415371,-0.32248,2.91755,-173.918,0.637619
-0.290467,0.0159483,5.09065,0.41773,-0.290467,2.86178,-175.431,0.562164
-0.324755,0.0146083,3.22057,0.424798,-0.324755,2.86996,-174.181,0.891133
-0.3286,0.0505719,3.40382,0.423686,-0.3286,2.96064,-175.317,0.869797
-0.326623,0.00275522,3.88154,0.440561,-0.326623,3.07044,-176.558,0.791038
-0.299129,0.0155889,4.25195,0.415208,-0.299129,3.28317,-175.083,0.772158
-0.296235,0.011625,4.01077,0.414967,-0.296235,3.11419,-175.121,0.776457
-0.293593,0.0166587,6.13867,0.415338,-0.293593,3.33269,-175.981,0.542902
