b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,s_sage_centered_1.2.,s_sage_centered_1.3.,lp__,zs_1_1.1.,zs_1_1.2.,zs_1_1.3.
-0.3166,-6.66847,11.4486,0.386018,-0.3166,2.50246,4.09365,7.97428,-94.4961,0.218581,0.357567,0.696526
-0.324479,-7.17772,9.03763,0.388747,-0.324479,0.757447,2.38509,6.98561,-93.8193,0.0838104,0.263907,0.772947
-0.322016,-6.81287,12.136,0.377688,-0.322016,2.79679,4.71413,8.73177,-95.6919,0.230453,0.38844,0.71949
-0.321171,-6.82965,11.8262,0.377531,-0.321171,2.62146,4.37629,8.38785,-93.621,0.221666,0.370051,0.709262
-0.324368,-8.42684,9.74619,0.371835,-0.324368,1.66132,3.2588,8.64949,-91.423,0.170459,0.334367,0.887474
-0.328845,-8.53797,9.42541,0.372305,-0.328845,1.74535,3.4545,8.84551,-92.4013,0.185175,0.366509,0.938475
-0.292019,-7.44511,11.71,0.380812,-0.292019,2.69022,4.40466,8.95987,-95.3557,0.229738,0.376147,0.76515
-0.290671,-7.45588,13.4415,0.385746,-0.290671,1.74725,3.53558,8.05755,-94.5605,0.12999,0.263035,0.599454
-0.341227,-7.83277,4.83426,0.361998,-0.341227,1.68628,3.21267,8.20308,-92.8932,0.348819,0.664563,1.69686
-0.297104,-7.90465,2.84158,0.376342,-0.297104,1.18869,3.02967,8.01552,-94.7949,0.418321,1.06619,2.8208
-0.32604,-8.23957,4.27857,0.39134,-0.32604,1.65863,3.00021,8.47758,-94.0617,0.38766,0.701218,1.9814
-0.320552,-8.11063,7.94317,0.361357,-0.320552,0.624532,1.95933,7.22558,-95.0216,0.0786251,0.246669,0.909661
-0.327926,-7.37201,4.39594,0.370584,-0.327926,1.90917,3.27271,7.85053,-92.7823,0.434303,0.744484,1.78586
-0.305134,-7.40644,3.55523,0.384825,-0.305134,1.30651,3.15033,7.83994,-93.7944,0.36749,0.88611,2.20518
-0.298693,-6.92161,4.86263,0.387142,-0.298693,1.5738,3.38112,7.49433,-93.804,0.323652,0.695328,1.54121
-0.314176,-7.53551,5.74518,0.378885,-0.314176,1.3118,2.83571,7.74508,-91.1979,0.22833,0.493581,1.3481
-0.311183,-7.87173,4.08493,0.365678,-0.311183,1.60579,3.23543,8.31746,-91.9108,0.393101,0.792041,2.03613
-0.308158,-7.8149,5.21829,0.390327,-0.308158,0.829505,2.37118,7.53111,-93.1833,0.158961,0.454398,1.44321
-0.302369,-6.7417,3.32878,0.364578,-0.302369,1.81755,3.58096,7.68174,-94.1229,0.54601,1.07576,2.30767
-0.30056,-8.13326,3.09529,0.378996,-0.30056,1.08158,2.40987,7.72416,-94.4104,0.349427,0.778561,2.49546
-0.314443,-8.49681,3.45983,0.366942,-0.314443,1.49686,2.90577,8.51416,-92.9456,0.432639,0.839859,2.46086
-0.314739,-7.34759,8.84109,0.381386,-0.314739,2.22994,3.58513,7.99908,-94.9862,0.252225,0.405508,0.904762
-0.319401,-7.24819,9.41203,0.385491,-0.319401,1.63905,3.28617,7.99919,-93.7825,0.174144,0.349146,0.84989
-0.30906,-8.00326,7.32669,0.366737,-0.30906,1.15151,2.70135,7.79236,-91.3335,0.157166,0.3687,1.06356
-0.305844,-7.8575,7.68847,0.376448,-0.305844,1.5326,3.17892,8.1997,-90.8178,0.199337,0.413466,1.06649
-0.301763,-7.8128,8.93884,0.379519,-0.301763,1.56166,3.28672,8.18839,-91.5087,0.174705,0.367689,0.916046
-0.297635,-7.8109,7.29095,0.380838,-0.297635,1.38621,2.85409,7.89932,-91.7685,0.190128,0.391457,1.08344
-0.321576,-7.49071,8.42745,0.373257,-0.321576,1.53995,3.29333,8.00102,-90.8544,0.18273,0.390786,0.949399
