b_Intercept,b_age_centered,b_Iage_centeredE2,b_Iage_centeredE3,sigma,Intercept,lp__
-7.68146,1.58319,-0.0523544,0.000458732,0.840396,1.27682,-8314.37
-7.66372,1.58319,-0.0523564,0.000458381,0.840396,1.27682,-8315.35
-7.65908,1.58323,-0.0523931,0.000458935,0.840468,1.2768,-8313.96
-7.64196,1.58304,-0.0526125,0.000462694,0.840915,1.27679,-8302.78
-7.66965,1.58304,-0.0526055,0.00046317,0.840911,1.27679,-8304.11
-7.62979,1.58299,-0.0527276,0.000464576,0.841258,1.2768,-8296.98
-7.67315,1.58262,-0.0523541,0.000458798,0.841814,1.27672,-8283.83
-7.66578,1.58189,-0.0523732,0.000459314,0.843698,1.27686,-8243.98
-7.64877,1.58174,-0.0526175,0.000463514,0.844019,1.27684,-8237.72
-7.65812,1.58167,-0.0523899,0.000459553,0.844469,1.27682,-8228.26
-7.6251,1.58167,-0.0525797,0.000462329,0.845149,1.2768,-8216.07
-7.67618,1.58178,-0.0522966,0.000458176,0.845339,1.27681,-8214.37
-7.69946,1.58186,-0.0522179,0.0004572,0.84775,1.27686,-8173.34
-7.64946,1.58185,-0.0525653,0.000462519,0.847843,1.27684,-8169.68
-7.61301,1.5812,-0.0526351,0.000463297,0.850091,1.27692,-8125.62
-7.6586,1.58109,-0.0523375,0.000458854,0.851041,1.27687,-8107.99
-7.65271,1.58119,-0.0524779,0.000461272,0.851039,1.27687,-8108.23
-7.64075,1.58115,-0.0523241,0.000458191,0.851069,1.27687,-8109.59
-7.60157,1.58103,-0.0525925,0.000462339,0.851835,1.27692,-8094.58
-7.64133,1.58101,-0.0525583,0.000462585,0.852012,1.27693,-8090.35
-7.66384,1.581,-0.0522801,0.000457953,0.852521,1.27693,-8082.19
-7.64683,1.58082,-0.0525178,0.000462045,0.852645,1.27689,-8077.74
-7.59036,1.58082,-0.0528426,0.000466798,0.852762,1.27689,-8079.1
-7.60941,1.5808,-0.0527171,0.00046491,0.852781,1.2769,-8076.58
-7.69141,1.58073,-0.0522091,0.000457366,0.85324,1.27695,-8068.36
-7.60264,1.5806,-0.0526483,0.000463582,0.853728,1.27691,-8058.03
-7.62516,1.57943,-0.052418,0.000460347,0.857533,1.27709,-7983.36
-7.582,1.57933,-0.0526303,0.000463366,0.857937,1.27708,-7977.31
-7.68979,1.57907,-0.0521876,0.000457672,0.859611,1.27708,-7947.48
-7.58837,1.57782,-0.0524956,0.000461689,0.865987,1.277,-7830.3
-7.62664,1.57786,-0.0524325,0.000461342,0.866085,1.27698,-7828.35
-7.64764,1.57775,-0.052347,0.000460276,0.8671,1.27693,-7811.14
-7.57199,1.57773,-0.0527125,0.000465369,0.867393,1.27691,-7808.45
-7.57319,1.57775,-0.0527538,0.000466148,0.867403,1.27692,-7809.36
-7.67089,1.57751,-0.0519776,0.000454073,0.867828,1.27695,-7800.84
-7.61408,1.57748,-0.0522925,0.000458653,0.867968,1.27695,-7795.15
-7.60464,1.57736,-0.0523189,0.000458982,0.869781,1.27681,-7764.76
-7.6344,1.57721,-0.0523781,0.000460796,0.870101,1.27677,-7757.76
-7.66165,1.57713,-0.0522284,0.000458662,0.87017,1.27676,-7756.75
-7.62142,1.57717,-0.0524731,0.000462278,0.870741,1.27679,-7747.71
-7.62159,1.57718,-0.0523526,0.000460057,0.870818,1.27678,-7745.37
-7.60824,1.57726,-0.05248,0.000462078,0.871067,1.27675,-7742.37
-7.62636,1.57728,-0.0523625,0.000460298,0.870956,1.27676,-7743.91
-7.64274,1.57723,-0.0522489,0.000458584,0.871161,1.27676,-7740.46
-7.59036,1.57731,-0.0524593,0.000461282,0.871324,1.27683,-7738.99
-7.60962,1.57703,-0.0523897,0.000460546,0.872541,1.27671,-7716.44
-7.62467,1.57688,-0.0522826,0.000458964,0.873257,1.27669,-7703.88
-7.61501,1.57688,-0.0523825,0.000460596,0.873895,1.27674,-7693.65
-7.60921,1.57691,-0.0523334,0.000459552,0.877573,1.27689,-7635.85
-7.61687,1.5769,-0.0522816,0.000458772,0.878395,1.2769,-7622.88
-7.65369,1.57691,-0.0520744,0.00045575,0.878478,1.27691,-7623.21
-7.644,1.5769,-0.0522465,0.000458717,0.878506,1.2769,-7621.15
-7.62836,1.57689,-0.0521668,0.000456909,0.878624,1.2769,-7620.27
-7.68125,1.57689,-0.052179,0.000458292,0.87863,1.2769,-7621.86
-7.58658,1.57691,-0.0523689,0.000459712,0.879935,1.27686,-7600
-7.60425,1.57704,-0.0522956,0.00045869,0.879946,1.27684,-7600.26
-7.66596,1.57687,-0.0522578,0.000459418,0.880134,1.27687,-7597.22
-7.66641,1.57648,-0.0522233,0.000458964,0.880768,1.27687,-7584.53
-7.57952,1.57664,-0.0523844,0.000459963,0.880965,1.27689,-7582.25
-7.62518,1.57642,-0.0523942,0.000461243,0.8819,1.2769,-7565
-7.63071,1.57617,-0.0522541,0.000458891,0.882922,1.27694,-7546.75
-7.63733,1.57392,-0.0521688,0.000458458,0.892131,1.2767,-7391.22
-7.61409,1.57346,-0.0522718,0.000460052,0.893307,1.27667,-7370.2
-7.62945,1.57325,-0.0521646,0.000458502,0.894176,1.2766,-7355.78
-7.64219,1.57325,-0.0521631,0.000458754,0.894176,1.2766,-7357.06
-7.62057,1.57325,-0.0522348,0.000459605,0.894624,1.27662,-7349.27
-7.59444,1.57138,-0.0519757,0.000455086,0.908716,1.27682,-7133.83
-7.63465,1.57144,-0.0519539,0.000455534,0.909678,1.27671,-7120.05
-7.57131,1.57156,-0.0523704,0.000461778,0.910081,1.2767,-7115.23
-7.60158,1.57145,-0.0521139,0.000457759,0.910487,1.27674,-7107.63
-7.57366,1.57111,-0.0522301,0.00045944,0.911371,1.27665,-7092.94
-7.58363,1.57124,-0.0521592,0.000458296,0.913774,1.27669,-7060.27
-7.56652,1.57124,-0.0522577,0.000459738,0.913909,1.27667,-7058.65
-7.54102,1.57098,-0.0524739,0.000463282,0.916181,1.27661,-7027.76
-7.63347,1.57095,-0.0518873,0.000454499,0.916412,1.27663,-7023.45
-7.56598,1.57093,-0.0523119,0.000460863,0.916892,1.27666,-7015.93
-7.64618,1.57084,-0.051976,0.000456458,0.917444,1.2766,-7009.69
-7.55999,1.57081,-0.0521409,0.00045763,0.917388,1.27661,-7008.73
-7.61613,1.57093,-0.0519793,0.000455821,0.91845,1.27662,-6994.53
-7.63948,1.57093,-0.0519709,0.000456179,0.918426,1.27662,-6996.05
-7.60219,1.57084,-0.052172,0.000459114,0.918916,1.27667,-6987.82
-7.60775,1.57094,-0.0521439,0.00045867,0.919241,1.27664,-6984.02
-7.60406,1.57063,-0.0520895,0.000457726,0.920073,1.27664,-6970.19
-7.59439,1.5706,-0.0521348,0.000458361,0.92013,1.27665,-6969.13
-7.57555,1.57067,-0.0522843,0.000460678,0.920324,1.27665,-6967.6
-7.55833,1.57069,-0.0524791,0.000463885,0.920275,1.27664,-6971.55
-7.63654,1.57088,-0.0518868,0.000454588,0.920796,1.27666,-6963.39
-7.5318,1.57068,-0.0523831,0.000461539,0.921089,1.27667,-6958.2
-7.54284,1.57037,-0.0524706,0.000463529,0.923502,1.27664,-6925.05
-7.60231,1.56781,-0.0517063,0.00045187,0.931353,1.27657,-6804.93
-7.57641,1.56687,-0.0520195,0.000457493,0.93624,1.27635,-6732.92
-7.57601,1.56706,-0.052031,0.000457616,0.938215,1.27643,-6709.01
-7.55804,1.56706,-0.0519685,0.00045607,0.938354,1.27643,-6707.29
