b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,lp__,zs_1_1.1.
-0.313246,0.0463005,3.50758,0.397554,-0.313246,2.88625,-176.769,0.822859
-0.3283,0.00932106,2.66295,0.440171,-0.3283,2.89157,-176.203,1.08585
-0.317748,0.0239718,1.53055,0.422835,-0.317748,2.84983,-175.185,1.86196
-0.315598,0.0252658,1.20695,0.427826,-0.315598,2.36421,-176.981,1.95883
-0.32985,0.0336667,2.32414,0.420691,-0.32985,2.5166,-174.974,1.08281
-0.325315,0.0436044,3.91756,0.427338,-0.325315,3.25248,-175.238,0.83023
-0.318772,0.024729,1.83575,0.404286,-0.318772,3.02528,-175.661,1.64799
-0.327476,0.0284397,1.77395,0.405514,-0.327476,2.6095,-175.932,1.47101
-0.318153,0.0252631,2.23814,0.413181,-0.318153,3.20838,-174.71,1.43351
-0.326273,0.0304439,1.26433,0.41565,-0.326273,2.89714,-176.423,2.29145
-0.326942,0.0220525,1.39784,0.407976,-0.326942,3.15494,-176.966,2.25701
-0.309933,0.0287585,1.62904,0.431867,-0.309933,2.62559,-175.695,1.61174
-0.319348,0.046777,3.69202,0.41245,-0.319348,2.91494,-174.825,0.789524
-0.297984,0.0280263,2.31289,0.419971,-0.297984,3.0148,-174.796,1.30348
-0.330818,0.0268597,2.46224,0.419528,-0.330818,2.89031,-174.339,1.17385
-0.341691,0.0235877,2.88682,0.429801,-0.341691,2.87213,-175.424,0.994913
-0.29228,0.0276608,2.47545,0.410786,-0.29228,2.49673,-176.072,1.0086
-0.337278,0.0317015,1.52104,0.433519,-0.337278,2.57305,-176.954,1.69163
-0.337349,0.027398,2.29797,0.415469,-0.337349,3.4585,-176.445,1.50503
-0.288387,0.0240034,2.70028,0.410462,-0.288387,2.47324,-176.553,0.915919
-0.301868,0.0269841,3.17973,0.416799,-0.301868,3.42191,-175.256,1.07617
-0.304229,0.0392159,2.09282,0.419485,-0.304229,2.41562,-175.582,1.15424
-0.311946,0.0359921,1.98699,0.411697,-0.311946,3.47582,-176.571,1.74929
-0.314426,0.0384646,1.43262,0.414939,-0.314426,2.32018,-176.601,1.61954
-0.311473,0.0355645,1.60291,0.421736,-0.311473,2.66994,-175.252,1.66568
-0.304543,0.0188168,2.28502,0.424647,-0.304543,3.12532,-174.752,1.36774
-0.305479,0.0235561,2.03648,0.426292,-0.305479,2.70875,-174.769,1.33011
-0.313447,0.0140673,2.24594,0.44045,-0.313447,2.71916,-176.09,1.2107
-0.323197,0.0459448,4.85543,0.409232,-0.323197,2.88944,-175.209,0.595093
-0.330141,0.0286479,1.48508,0.415394,-0.330141,2.68568,-175.743,1.80845
-0.303052,0.0217294,9.57536,0.418276,-0.303052,3.01342,-175.305,0.314706
-0.302713,0.0210752,9.1202,0.418445,-0.302713,2.1941,-177.441,0.240576
-0.300871,0.0138057,6.9123,0.440973,-0.300871,2.75505,-176.832,0.398572
-0.304261,0.00282252,5.36058,0.439002,-0.304261,2.76236,-176.717,0.51531
-0.292389,0.0318747,2.98294,0.4104,-0.292389,3.22334,-175.836,1.08059
-0.290029,0.034006,2.86823,0.409442,-0.290029,3.18065,-176.176,1.10892
-0.324668,0.011311,4.07341,0.44056,-0.324668,3.528,-177.137,0.866103
