b_Intercept,b_age_centered,b_Iage_centeredE2,sigma,Intercept,lp__
-0.0656408,-0.0314688,0.000446286,0.413095,-0.328039,-172.084
-0.0565759,-0.031726,0.000445514,0.412707,-0.324843,-172.146
-0.06479,-0.0306453,0.000430121,0.410516,-0.324101,-171.871
-0.059566,-0.0316246,0.000441589,0.408615,-0.329082,-172.727
-0.0884569,-0.0270845,0.000369223,0.427598,-0.326841,-172.202
-0.0520677,-0.0283617,0.000387492,0.41356,-0.300971,-172.387
-0.0715992,-0.0283531,0.000410471,0.413545,-0.300961,-171.874
-0.0918047,-0.0259899,0.000368842,0.429979,-0.3083,-171.599
-0.0821923,-0.0289186,0.000407088,0.407916,-0.325878,-171.727
-0.129033,-0.0259148,0.000385702,0.43743,-0.329796,-173.976
-0.103857,-0.0259307,0.000355984,0.437494,-0.329989,-173.111
-0.130781,-0.0240532,0.000339173,0.440928,-0.332984,-173.746
-0.0652858,-0.0266865,0.000375234,0.421007,-0.290529,-172.318
-0.0377422,-0.0281633,0.000386946,0.430113,-0.28308,-174.088
-0.0992062,-0.0279517,0.000383252,0.423858,-0.343363,-173.077
-0.0961418,-0.0265265,0.000354984,0.422909,-0.335204,-173.413
-0.10192,-0.0265354,0.000361922,0.422992,-0.335317,-172.48
-0.131367,-0.02555,0.000377721,0.424131,-0.331454,-172.674
-0.0803,-0.0291736,0.00041328,0.416769,-0.323943,-171.15
-0.089233,-0.0280592,0.000398891,0.425144,-0.32239,-171.125
-0.0759967,-0.030588,0.000432534,0.411864,-0.332112,-172.089
-0.0489776,-0.0339281,0.000483026,0.409897,-0.330311,-173.742
-0.0704762,-0.0306606,0.00043721,0.415871,-0.324124,-171.557
-0.0623385,-0.0314508,0.000462125,0.423196,-0.311022,-172.825
-0.104547,-0.0286804,0.000423207,0.407738,-0.329816,-173.135
-0.0758684,-0.0266535,0.000348153,0.422376,-0.323266,-174.512
-0.0825716,-0.0267831,0.000353151,0.438812,-0.328385,-175.204
