b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,s_sage_centered_1.2.,lp__,zs_1_1.1.,zs_1_1.2.
-0.320331,-8.58287,4.62267,0.38396,-0.320331,7.01852,-0.798259,-109.646,1.51828,-0.172684
-0.325139,-9.32656,5.03441,0.383307,-0.325139,7.37453,-1.14689,-111.807,1.46482,-0.227811
-0.312177,-7.64074,3.78837,0.374535,-0.312177,6.47294,-0.596129,-112.204,1.70863,-0.157358
-0.316994,-9.57903,6.53799,0.395217,-0.316994,7.72187,-0.860275,-112.121,1.18108,-0.131581
-0.314528,-9.2613,6.62744,0.396545,-0.314528,7.47902,-0.904496,-111.134,1.12849,-0.136477
-0.318006,-8.07902,4.03979,0.373837,-0.318006,6.74357,-0.534926,-110.261,1.66929,-0.132414
-0.313096,-7.57837,3.46256,0.370395,-0.313096,6.37987,-0.375014,-111.647,1.84253,-0.108306
-0.313421,-8.06192,4.21257,0.382075,-0.313421,6.72379,-0.535083,-109.806,1.59612,-0.12702
-0.306242,-8.10843,7.0041,0.379707,-0.306242,6.63128,-0.664639,-110.151,0.946772,-0.0948929
-0.307735,-8.02669,4.59294,0.396829,-0.307735,6.47781,-0.622567,-111.804,1.41039,-0.135549
-0.30672,-7.9826,4.75273,0.39706,-0.30672,6.72145,-0.654912,-111.782,1.41423,-0.137797
-0.307478,-8.5668,3.4935,0.393144,-0.307478,7.16512,-0.630515,-111.256,2.05099,-0.180482
-0.340222,-8.84399,4.49625,0.393154,-0.340222,7.2974,-1.05322,-113.592,1.623,-0.234243
-0.339472,-8.92287,4.41694,0.391744,-0.339472,7.45601,-0.819723,-112.444,1.68805,-0.185586
-0.313355,-8.01867,3.80845,0.39167,-0.313355,6.79266,-0.508142,-111.01,1.78358,-0.133425
-0.322129,-8.31814,4.07132,0.389912,-0.322129,6.97719,-0.662513,-110.613,1.71374,-0.162727
-0.352829,-8.81733,3.35733,0.388152,-0.352829,7.16384,-0.755236,-114.051,2.13379,-0.224951
-0.28166,-9.20765,2.4524,0.379827,-0.28166,7.58451,-1.0444,-117.509,3.09269,-0.425869
-0.32956,-9.29919,3.16415,0.376883,-0.32956,7.64384,-1.13194,-113.988,2.41577,-0.357739
-0.337173,-9.33136,3.06403,0.367908,-0.337173,7.63502,-0.808441,-114.302,2.49182,-0.263849
-0.329501,-8.74395,3.45042,0.381102,-0.329501,7.26537,-0.655576,-111.004,2.10565,-0.189999
-0.319629,-8.16605,3.342,0.373856,-0.319629,6.96447,-0.217723,-113.048,2.08392,-0.0651477
-0.319846,-9.20067,2.56288,0.391016,-0.319846,7.47285,-1.05688,-113.56,2.91581,-0.412381
-0.321324,-8.86835,2.53609,0.376114,-0.321324,7.20924,-1.00512,-113.184,2.84266,-0.396329
-0.319,-8.61592,2.96675,0.375435,-0.319,6.9239,-1.15356,-113.9,2.33384,-0.388831
-0.325447,-8.42543,2.3242,0.379219,-0.325447,7.10639,-0.400781,-114.094,3.05757,-0.172438
-0.310703,-8.23712,3.18309,0.375751,-0.310703,6.61256,-1.04121,-113.4,2.0774,-0.327106
-0.304628,-8.64891,3.65663,0.372632,-0.304628,7.3318,-0.384405,-113.061,2.00507,-0.105125
-0.297905,-7.75727,4.03318,0.378615,-0.297905,6.28955,-0.727664,-112.153,1.55945,-0.180419
-0.293959,-7.73818,3.84084,0.38026,-0.293959,6.47416,-0.317677,-112.017,1.68561,-0.0827104
-0.319126,-8.35471,6.31762,0.37904,-0.319126,6.90711,-0.904399,-111.05,1.09331,-0.143155
-0.322791,-9.40148,6.73293,0.394011,-0.322791,7.47026,-1.063,-111.868,1.10951,-0.157881
-0.313469,-9.32649,4.03096,0.372066,-0.313469,7.46319,-1.26668,-112.992,1.85147,-0.314238
-0.314917,-8.11132,3.13806,0.38444,-0.314917,6.70103,-0.498428,-110.805,2.1354,-0.158833
-0.330554,-7.78821,3.01268,0.381294,-0.330554,6.35629,-0.659287,-111.966,2.10985,-0.218837
-0.330473,-7.78055,2.95155,0.381495,-0.330473,6.13727,-0.650451,-115.184,2.07934,-0.220376
-0.329279,-7.75983,3.07871,0.381637,-0.329279,6.55621,-0.630763,-112.649,2.12953,-0.204879
-0.287307,-7.71219,2.94943,0.393594,-0.287307,6.69377,-0.214774,-115.599,2.26952,-0.0728188
-0.29393,-7.08618,5.13319,0.385173,-0.29393,6.18548,-0.235881,-113.954,1.205,-0.0459521
-0.304938,-8.39838,6.35993,0.393004,-0.304938,6.94239,-0.692188,-110.266,1.09158,-0.108836
-0.3221,-8.52477,3.79586,0.372553,-0.3221,6.97758,-0.77087,-110.525,1.83821,-0.203082
-0.355323,-7.92829,3.57497,0.37025,-0.355323,6.67165,-0.528907,-115.299,1.86621,-0.147947
-0.305455,-7.47899,2.63164,0.399087,-0.305455,6.56117,-0.367895,-116.826,2.49319,-0.139797
-0.327106,-8.45136,5.03118,0.368777,-0.327106,7.34053,-0.558632,-115.828,1.45901,-0.111034
-0.304306,-10.3797,3.8421,0.395223,-0.304306,8.65998,-1.24256,-118.954,2.25397,-0.323407
-0.330395,-9.78844,4.45448,0.412842,-0.330395,8.09905,-0.982246,-116.431,1.81818,-0.220508
-0.339186,-8.36008,6.38084,0.398477,-0.339186,6.79633,-0.690468,-112.118,1.06512,-0.10821
-0.338867,-8.52018,7.50597,0.389331,-0.338867,6.9785,-0.638255,-111.192,0.929726,-0.085033
-0.33066,-8.4136,5.26096,0.375636,-0.33066,6.89098,-0.667499,-110.248,1.30983,-0.126878
-0.339177,-8.58105,4.89178,0.374833,-0.339177,7.05254,-0.873208,-111.602,1.44171,-0.178505
-0.312219,-8.63876,3.6074,0.351643,-0.312219,7.28169,-0.647316,-116.709,2.01854,-0.179441
-0.296922,-9.05277,4.5334,0.392907,-0.296922,7.43295,-0.883708,-111.399,1.6396,-0.194933
